id_partida,fecha_hora,estrategia_j1,estrategia_j2,nivel_j1,nivel_j2,ganador,motivo_victoria,duracion_segundos,torres_destruidas_j1,torres_destruidas_j2,vida_final_j1,vida_final_j2,cartas_jugadas_j1,cartas_jugadas_j2,elixir_gastado_j1,elixir_gastado_j2,tropas_invocadas_j1,tropas_invocadas_j2,danio_causado_j1,danio_causado_j2,danio_recibido_j1,danio_recibido_j2,ataques_j1,ataques_j2
PARTIDA_0001_456397e2,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaMenorCosto,5,5,2,"Más torres restantes",195,1,2,1671,902,17,22,68,70,17,22,15748,22471,22471,15748,168,326
PARTIDA_0002_53104862,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAgresiva,5,5,1,"Torre Rey del Jugador 2 destruida",52,2,0,6688,1959,5,6,19,21,5,6,8138,3560,3560,8138,57,38
PARTIDA_0003_aad95ebe,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",126,3,1,2319,0,11,10,46,46,11,10,18405,13378,13378,18405,126,94
PARTIDA_0004_9f419dc6,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",53,1,2,1959,2439,6,6,22,21,6,6,8143,7722,7722,8143,66,40
PARTIDA_0005_29dd7e98,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",74,2,0,6711,1959,9,8,29,30,9,8,8723,2921,2921,8723,99,50
PARTIDA_0006_84611041,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",72,1,2,1959,2620,8,8,28,29,8,8,7563,8442,8442,7563,95,64
PARTIDA_0007_dc53d604,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",115,0,3,0,7278,9,12,42,42,9,12,5702,17032,17032,5702,68,166
PARTIDA_0008_7841dd71,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",72,1,2,1518,3458,7,8,27,28,7,8,5789,9067,9067,5789,90,68
PARTIDA_0009_b597bb82,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",110,0,3,0,6878,10,12,40,40,10,12,5988,13110,13110,5988,79,159
PARTIDA_0010_fcc04e62,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaMenorCosto,5,5,2,"Torre Rey del Jugador 1 destruida",44,1,2,1959,4469,6,5,20,18,6,5,4820,7882,7882,4820,60,48
PARTIDA_0011_17a9eb66,2025-11-03 08:41:36,EstrategiaAleatoria,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",49,2,1,5319,1959,5,6,18,20,5,6,8844,3582,3582,8844,54,45
PARTIDA_0012_fa53457d,2025-11-03 08:41:36,EstrategiaAgresiva,EstrategiaAleatoria,5,5,2,"Torre Rey del Jugador 1 destruida",54,1,2,1959,4669,5,6,20,23,5,6,5650,7797,7797,5650,41,37
PARTIDA_0013_b2a712aa,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaAgresiva,5,5,2,"Torre Rey del Jugador 1 destruida",58,0,2,582,7278,5,6,21,23,5,6,3966,11627,11627,3966,49,102
PARTIDA_0014_0b018510,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaDefensiva,5,5,1,"Torre Rey del Jugador 2 destruida",75,2,0,6938,1959,7,6,27,27,7,6,10410,1462,1462,10410,74,17
PARTIDA_0015_aca42977,2025-11-03 08:41:36,EstrategiaMenorCosto,EstrategiaAleatoria,5,5,1,"Torre Rey del Jugador 2 destruida",61,2,1,5319,1959,8,6,25,22,8,6,7860,3013,3013,7860,121,30
PARTIDA_0016_76b90988,2025-11-03 08:41:36,EstrategiaDefensiva,EstrategiaDefensiva,5,5,2,"Torre Rey del Jugador 1 destruida",159,1,3,0,2319,13,11,56,57,13,11,12862,21354,21354,12862,93,135
