id_partida,tick,tipo_evento,ganador_final,duracion_final,estrategia_j1,estrategia_j2,elixir_j1,elixir_j2,mano_j1,mano_j2,mazo_j1,mazo_j2,actor_evento,carta_usada,coste_carta,pos_x,pos_y,tropa_vida_maxima,tropa_dano,tropa_rango,tropa_tipo_ataque,tropa_tipo_objetivo,tropa_nivel
partida_0,1,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,0,5,Bárbaros|Arqueras|Caballero|Mosquetera,Bárbaros|Mini P.E.K.K.A|Gigante|Mosquetera,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_1,Príncipe,5,6,2,1100,220,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,1,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,0,1,Bárbaros|Arqueras|Caballero|Mosquetera,Bárbaros|Gigante|Mosquetera|Ejército de Esqueletos,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Mini P.E.K.K.A,4,0,17,600,340,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,7,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,2,0,Bárbaros|Arqueras|Caballero|Mosquetera,Bárbaros|Gigante|Mosquetera|Valquiria,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Ejército de Esqueletos,3,0,17,51,51,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,19,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,3,4,Bárbaros|Arqueras|Mosquetera|Valquiria,Bárbaros|Gigante|Mosquetera|Valquiria,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_1,Caballero,3,6,2,660,75,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,19,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,3,0,Bárbaros|Arqueras|Mosquetera|Valquiria,Bárbaros|Gigante|Mosquetera|Mago de Hielo,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Valquiria,4,0,10,880,120,1,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_0,26,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,1,2,Bárbaros|Arqueras|Mosquetera|Gigante,Bárbaros|Gigante|Mosquetera|Mago de Hielo,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_1,Valquiria,4,6,2,880,120,1,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_0,28,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,2,0,Bárbaros|Arqueras|Mosquetera|Gigante,Bárbaros|Gigante|Mosquetera|Caballero,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Mago de Hielo,3,0,10,590,63,5,AREA,TROPAS_Y_ESTRUCTURAS,5
partida_0,36,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,5,0,Bárbaros|Arqueras|Mosquetera|Gigante,Bárbaros|Gigante|Mosquetera|Mini P.E.K.K.A,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Caballero,3,0,11,660,75,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
partida_0,38,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,0,0,Bárbaros|Arqueras|Mosquetera|Mini P.E.K.K.A,Bárbaros|Gigante|Mosquetera|Mini P.E.K.K.A,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_1,Gigante,5,6,2,2000,120,1,INDIVIDUAL,ESTRUCTURAS,5
partida_0,48,TROPA_DESPLEGADA,JUGADOR_2,82,EstrategiaDefensiva,EstrategiaAgresiva,4,0,Bárbaros|Arqueras|Mosquetera|Mini P.E.K.K.A,Bárbaros|Gigante|Mosquetera|Ejército de Esqueletos,Gigante|Mini P.E.K.K.A|Valquiria|Caballero|Príncipe|Bárbaros|Arqueras|Mosquetera,Ejército de Esqueletos|Valquiria|Gigante|Bárbaros|Mago de Hielo|Mini P.E.K.K.A|Caballero|Mosquetera,JUGADOR_2,Mini P.E.K.K.A,4,0,10,600,340,1,INDIVIDUAL,TROPAS_Y_ESTRUCTURAS,5
